"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 09 15:28:05 CDT 2021","Wed Jun 09 15:28:07 CDT 2021","1435","","Complete a purchase.","","Complete a purchase.","6.- Click on the 'cart' Button","6.- Click on the 'cart' Button","Click on the 'cart' Button"
"passed","Wed Jun 09 15:25:25 CDT 2021","Wed Jun 09 15:25:31 CDT 2021","5400","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","5.- Validate 'Sauce Labs Onesie' Product Page is displayed","5.- Validate 'Sauce Labs Onesie' Product Page is displayed","Validate 'Sauce Labs Onesie' Product Page is displayed"
"passed","Wed Jun 09 15:21:33 CDT 2021","Wed Jun 09 15:21:33 CDT 2021","23","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","5.- Validate all the items have been added to the shopping cart","5.- Validate all the items have been added to the shopping cart","Validate all the items have been added to the shopping cart"
"passed","Wed Jun 09 15:28:01 CDT 2021","Wed Jun 09 15:28:03 CDT 2021","2198","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:24:07 CDT 2021","Wed Jun 09 15:24:49 CDT 2021","42017","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:27:50 CDT 2021","Wed Jun 09 15:27:54 CDT 2021","4657","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:20:57 CDT 2021","Wed Jun 09 15:21:21 CDT 2021","24209","","Login with an invalid user.","","Login with an invalid user.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:21:33 CDT 2021","Wed Jun 09 15:21:33 CDT 2021","5","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","4.- Add multiple items to the shopping cart","4.- Add multiple items to the shopping cart","Add multiple items to the shopping cart"
"passed","Wed Jun 09 15:37:03 CDT 2021","Wed Jun 09 15:37:06 CDT 2021","3451","","Logout from the home page.","","Logout from the home page.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:37:21 CDT 2021","Wed Jun 09 15:37:22 CDT 2021","490","","Logout from the home page.","","Logout from the home page.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:25:40 CDT 2021","Wed Jun 09 15:25:42 CDT 2021","2396","","Complete a purchase.","","Complete a purchase.","9.- Validate that the 'CHECKOUT: YOUR INFORMATION' Page is displayed'","9.- Validate that the 'CHECKOUT: YOUR INFORMATION' Page is displayed'","Validate that the 'CHECKOUT: YOUR INFORMATION' Page is displayed'"
"passed","Wed Jun 09 15:37:14 CDT 2021","Wed Jun 09 15:37:15 CDT 2021","237","","Logout from the home page.","","Logout from the home page.","5.- Validate 'Login Page' is displayed","5.- Validate 'Login Page' is displayed","Validate 'Login Page' is displayed"
"passed","Wed Jun 09 15:25:45 CDT 2021","Wed Jun 09 15:25:45 CDT 2021","365","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","5.- Validate all the items have been added to the shopping cart","5.- Validate all the items have been added to the shopping cart","Validate all the items have been added to the shopping cart"
"passed","Wed Jun 09 15:28:05 CDT 2021","Wed Jun 09 15:28:05 CDT 2021","766","","Complete a purchase.","","Complete a purchase.","5.- Validate 'Sauce Labs Backpack' Product Page is displayed","5.- Validate 'Sauce Labs Backpack' Product Page is displayed","Validate 'Sauce Labs Backpack' Product Page is displayed"
"passed","Wed Jun 09 15:27:54 CDT 2021","Wed Jun 09 15:28:00 CDT 2021","5302","","Complete a purchase.","","Complete a purchase.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","null"
"passed","Wed Jun 09 15:20:35 CDT 2021","Wed Jun 09 15:20:57 CDT 2021","21385","","Sort products by Price (low to high).","","Sort products by Price (low to high).","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:28:10 CDT 2021","Wed Jun 09 15:28:10 CDT 2021","97","","Complete a purchase.","","Complete a purchase.","12.- Validate that the 'CHECKOUT: OVERVIEW' Page is displayed","12.- Validate that the 'CHECKOUT: OVERVIEW' Page is displayed","Validate that the 'CHECKOUT: OVERVIEW' Page is displayed"
"passed","Wed Jun 09 15:23:53 CDT 2021","Wed Jun 09 15:24:53 CDT 2021","59983","","Login with a valid user.","","Login with a valid user.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:20:57 CDT 2021","Wed Jun 09 15:21:24 CDT 2021","26671","","Sort products by Price (low to high).","","Sort products by Price (low to high).","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:25:49 CDT 2021","Wed Jun 09 15:25:49 CDT 2021","77","","Sort products by Price (low to high).","","Sort products by Price (low to high).","5.- Validate that the products are sorded by 'low to high' price","5.- Validate that the products are sorded by 'low to high' price","Validate that the products are sorded by 'low to high' price"
"passed","Wed Jun 09 15:25:44 CDT 2021","Wed Jun 09 15:25:49 CDT 2021","5244","","Sort products by Price (low to high).","","Sort products by Price (low to high).","4.- Select 'Price (low to high)' option in the 'sort dropdown'","4.- Select 'Price (low to high)' option in the 'sort dropdown'","Select 'Price (low to high)' option in the 'sort dropdown'"
"passed","Wed Jun 09 15:20:35 CDT 2021","Wed Jun 09 15:20:57 CDT 2021","21368","","Login with an invalid user.","","Login with an invalid user.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:28:10 CDT 2021","Wed Jun 09 15:28:11 CDT 2021","641","","Complete a purchase.","","Complete a purchase.","13.- Click on 'FINISH' Button","13.- Click on 'FINISH' Button","Click on 'FINISH' Button"
"passed","Wed Jun 09 15:24:52 CDT 2021","Wed Jun 09 15:24:57 CDT 2021","5002","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:37:14 CDT 2021","Wed Jun 09 15:37:18 CDT 2021","4193","","Logout from the home page.","","Logout from the home page.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:23:53 CDT 2021","Wed Jun 09 15:24:47 CDT 2021","54350","","Sort products by Price (low to high).","","Sort products by Price (low to high).","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:28:00 CDT 2021","Wed Jun 09 15:28:01 CDT 2021","1868","","Complete a purchase.","","Complete a purchase.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:24:49 CDT 2021","Wed Jun 09 15:25:42 CDT 2021","52993","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:26:02 CDT 2021","Wed Jun 09 15:26:02 CDT 2021","245","","Complete a purchase.","","Complete a purchase.","14.- Validate that the 'CHECKOUT: COMPLETE' Page is displayed","14.- Validate that the 'CHECKOUT: COMPLETE' Page is displayed","Validate that the 'CHECKOUT: COMPLETE' Page is displayed"
"passed","Wed Jun 09 15:21:26 CDT 2021","Wed Jun 09 15:21:26 CDT 2021","51","","Sort products by Price (low to high).","","Sort products by Price (low to high).","5.- Validate that the products are sorded by 'low to high' price","5.- Validate that the products are sorded by 'low to high' price","Validate that the products are sorded by 'low to high' price"
"passed","Wed Jun 09 15:25:30 CDT 2021","Wed Jun 09 15:25:32 CDT 2021","2753","","Complete a purchase.","","Complete a purchase.","6.- Click on the 'cart' Button","6.- Click on the 'cart' Button","Click on the 'cart' Button"
"passed","Wed Jun 09 15:28:01 CDT 2021","Wed Jun 09 15:28:05 CDT 2021","3162","","Complete a purchase.","","Complete a purchase.","4.- Click on the 'Sauce Labs Backpack' Product","4.- Click on the 'Sauce Labs Backpack' Product","Click on the 'Sauce Labs Backpack' Product"
"passed","Wed Jun 09 15:21:24 CDT 2021","Wed Jun 09 15:21:24 CDT 2021","987","","Sort products by Price (low to high).","","Sort products by Price (low to high).","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:37:18 CDT 2021","Wed Jun 09 15:37:21 CDT 2021","3267","","Logout from the home page.","","Logout from the home page.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:37:10 CDT 2021","Wed Jun 09 15:37:14 CDT 2021","4822","","Logout from the home page.","","Logout from the home page.","4.- Click on the 'burger menu' -> 'LOGOUT' Button","4.- Click on the 'burger menu' -> 'LOGOUT' Button","Click on the 'burger menu' -> 'LOGOUT' Button"
"passed","Wed Jun 09 15:25:33 CDT 2021","Wed Jun 09 15:25:40 CDT 2021","6782","","Complete a purchase.","","Complete a purchase.","8.- Click on 'CHECKOUT' Button","8.- Click on 'CHECKOUT' Button","Click on 'CHECKOUT' Button"
"passed","Wed Jun 09 15:27:49 CDT 2021","Wed Jun 09 15:27:54 CDT 2021","4913","","Complete a purchase.","","Complete a purchase.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","null"
"passed","Wed Jun 09 15:37:23 CDT 2021","Wed Jun 09 15:37:24 CDT 2021","200","","Logout from the home page.","","Logout from the home page.","5.- Validate 'Login Page' is displayed","5.- Validate 'Login Page' is displayed","Validate 'Login Page' is displayed"
"passed","Wed Jun 09 15:24:47 CDT 2021","Wed Jun 09 15:25:40 CDT 2021","52687","","Sort products by Price (low to high).","","Sort products by Price (low to high).","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:24:59 CDT 2021","Wed Jun 09 15:25:28 CDT 2021","28784","","Complete a purchase.","","Complete a purchase.","4.- Click on the 'Sauce Labs Backpack' Product","4.- Click on the 'Sauce Labs Backpack' Product","Click on the 'Sauce Labs Backpack' Product"
"passed","Wed Jun 09 15:25:52 CDT 2021","Wed Jun 09 15:25:58 CDT 2021","6005","","Complete a purchase.","","Complete a purchase.","11.- Click on 'CONTINUE' Button","11.- Click on 'CONTINUE' Button","Click on 'CONTINUE' Button"
"passed","Wed Jun 09 15:23:53 CDT 2021","Wed Jun 09 15:24:24 CDT 2021","30871","","Complete a purchase.","","Complete a purchase.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","null"
"passed","Wed Jun 09 15:21:24 CDT 2021","Wed Jun 09 15:21:26 CDT 2021","1174","","Sort products by Price (low to high).","","Sort products by Price (low to high).","4.- Select 'Price (low to high)' option in the 'sort dropdown'","4.- Select 'Price (low to high)' option in the 'sort dropdown'","Select 'Price (low to high)' option in the 'sort dropdown'"
"passed","Wed Jun 09 15:37:22 CDT 2021","Wed Jun 09 15:37:23 CDT 2021","1699","","Logout from the home page.","","Logout from the home page.","4.- Click on the 'burger menu' -> 'LOGOUT' Button","4.- Click on the 'burger menu' -> 'LOGOUT' Button","Click on the 'burger menu' -> 'LOGOUT' Button"
"passed","Wed Jun 09 15:37:06 CDT 2021","Wed Jun 09 15:37:09 CDT 2021","3230","","Logout from the home page.","","Logout from the home page.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:24:24 CDT 2021","Wed Jun 09 15:24:53 CDT 2021","29223","","Complete a purchase.","","Complete a purchase.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","null"
"passed","Wed Jun 09 15:24:53 CDT 2021","Wed Jun 09 15:25:40 CDT 2021","47342","","Login with a valid user.","","Login with a valid user.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:37:09 CDT 2021","Wed Jun 09 15:37:10 CDT 2021","334","","Logout from the home page.","","Logout from the home page.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:25:40 CDT 2021","Wed Jun 09 15:25:44 CDT 2021","4003","","Sort products by Price (low to high).","","Sort products by Price (low to high).","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:26:00 CDT 2021","Wed Jun 09 15:26:02 CDT 2021","1261","","Complete a purchase.","","Complete a purchase.","13.- Click on 'FINISH' Button","13.- Click on 'FINISH' Button","Click on 'FINISH' Button"
"passed","Wed Jun 09 15:28:07 CDT 2021","Wed Jun 09 15:28:08 CDT 2021","1058","","Complete a purchase.","","Complete a purchase.","8.- Click on 'CHECKOUT' Button","8.- Click on 'CHECKOUT' Button","Click on 'CHECKOUT' Button"
"passed","Wed Jun 09 15:27:54 CDT 2021","Wed Jun 09 15:28:01 CDT 2021","6619","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","null"
"passed","Wed Jun 09 15:28:08 CDT 2021","Wed Jun 09 15:28:08 CDT 2021","186","","Complete a purchase.","","Complete a purchase.","9.- Validate that the 'CHECKOUT: YOUR INFORMATION' Page is displayed'","9.- Validate that the 'CHECKOUT: YOUR INFORMATION' Page is displayed'","Validate that the 'CHECKOUT: YOUR INFORMATION' Page is displayed'"
"passed","Wed Jun 09 15:28:08 CDT 2021","Wed Jun 09 15:28:09 CDT 2021","880","","Complete a purchase.","","Complete a purchase.","10.- Insert 'First Name', 'Last Name', and 'Zip Code'","10.- Insert 'First Name', 'Last Name', and 'Zip Code'","Insert 'First Name', 'Last Name', and 'Zip Code'"
"passed","Wed Jun 09 15:25:28 CDT 2021","Wed Jun 09 15:25:30 CDT 2021","1551","","Complete a purchase.","","Complete a purchase.","5.- Validate 'Sauce Labs Backpack' Product Page is displayed","5.- Validate 'Sauce Labs Backpack' Product Page is displayed","Validate 'Sauce Labs Backpack' Product Page is displayed"
"passed","Wed Jun 09 15:24:47 CDT 2021","Wed Jun 09 15:25:35 CDT 2021","48045","","Login with an invalid user.","","Login with an invalid user.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:25:42 CDT 2021","Wed Jun 09 15:25:45 CDT 2021","2516","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:20:35 CDT 2021","Wed Jun 09 15:20:57 CDT 2021","21444","","Login with a valid user.","","Login with a valid user.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:21:21 CDT 2021","Wed Jun 09 15:21:22 CDT 2021","1036","","Login with an invalid user.","","Login with an invalid user.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:23:53 CDT 2021","Wed Jun 09 15:24:24 CDT 2021","30812","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:28:09 CDT 2021","Wed Jun 09 15:28:10 CDT 2021","734","","Complete a purchase.","","Complete a purchase.","11.- Click on 'CONTINUE' Button","11.- Click on 'CONTINUE' Button","Click on 'CONTINUE' Button"
"passed","Wed Jun 09 15:24:24 CDT 2021","Wed Jun 09 15:24:52 CDT 2021","28540","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","null"
"passed","Wed Jun 09 15:25:40 CDT 2021","Wed Jun 09 15:25:45 CDT 2021","5015","","Login with a valid user.","","Login with a valid user.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:25:35 CDT 2021","Wed Jun 09 15:25:44 CDT 2021","9768","","Login with an invalid user.","","Login with an invalid user.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:20:57 CDT 2021","Wed Jun 09 15:21:24 CDT 2021","26611","","Login with a valid user.","","Login with a valid user.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:28:03 CDT 2021","Wed Jun 09 15:28:05 CDT 2021","1882","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","4.- Click on the 'Sauce Labs Onesie' Product","4.- Click on the 'Sauce Labs Onesie' Product","Click on the 'Sauce Labs Onesie' Product"
"passed","Wed Jun 09 15:25:58 CDT 2021","Wed Jun 09 15:26:00 CDT 2021","1964","","Complete a purchase.","","Complete a purchase.","12.- Validate that the 'CHECKOUT: OVERVIEW' Page is displayed","12.- Validate that the 'CHECKOUT: OVERVIEW' Page is displayed","Validate that the 'CHECKOUT: OVERVIEW' Page is displayed"
"passed","Wed Jun 09 15:20:57 CDT 2021","Wed Jun 09 15:21:33 CDT 2021","35749","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","2.- Login with a valid 'username' and 'password'","2.- Login with a valid 'username' and 'password'","Login with a valid 'username' and 'password'"
"passed","Wed Jun 09 15:25:32 CDT 2021","Wed Jun 09 15:25:33 CDT 2021","900","","Complete a purchase.","","Complete a purchase.","7.- Validate that the 'Cart' Page is displayed","7.- Validate that the 'Cart' Page is displayed","Validate that the 'Cart' Page is displayed"
"passed","Wed Jun 09 15:20:35 CDT 2021","Wed Jun 09 15:20:57 CDT 2021","21392","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:25:45 CDT 2021","Wed Jun 09 15:25:45 CDT 2021","100","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","4.- Add multiple items to the shopping cart","4.- Add multiple items to the shopping cart","Add multiple items to the shopping cart"
"passed","Wed Jun 09 15:24:54 CDT 2021","Wed Jun 09 15:24:59 CDT 2021","5369","","Complete a purchase.","","Complete a purchase.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:28:05 CDT 2021","Wed Jun 09 15:28:06 CDT 2021","479","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","5.- Validate 'Sauce Labs Onesie' Product Page is displayed","5.- Validate 'Sauce Labs Onesie' Product Page is displayed","Validate 'Sauce Labs Onesie' Product Page is displayed"
"passed","Wed Jun 09 15:21:24 CDT 2021","Wed Jun 09 15:21:24 CDT 2021","968","","Login with a valid user.","","Login with a valid user.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:24:57 CDT 2021","Wed Jun 09 15:25:25 CDT 2021","27926","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","","Add the specific product ‘Sauce Labs Onesie’ to the shopping cart.","4.- Click on the 'Sauce Labs Onesie' Product","4.- Click on the 'Sauce Labs Onesie' Product","Click on the 'Sauce Labs Onesie' Product"
"passed","Wed Jun 09 15:28:07 CDT 2021","Wed Jun 09 15:28:07 CDT 2021","283","","Complete a purchase.","","Complete a purchase.","7.- Validate that the 'Cart' Page is displayed","7.- Validate that the 'Cart' Page is displayed","Validate that the 'Cart' Page is displayed"
"passed","Wed Jun 09 15:21:33 CDT 2021","Wed Jun 09 15:21:33 CDT 2021","268","","Add multiple items to the shopping cart.","","Add multiple items to the shopping cart.","3.- Validate 'Inventory Page' is displayed","3.- Validate 'Inventory Page' is displayed","Validate 'Inventory Page' is displayed"
"passed","Wed Jun 09 15:23:53 CDT 2021","Wed Jun 09 15:24:47 CDT 2021","53904","","Login with an invalid user.","","Login with an invalid user.","1.- Open 'Swag Labs' Page","1.- Open 'Swag Labs' Page","Open 'Swag Labs' Page"
"passed","Wed Jun 09 15:25:42 CDT 2021","Wed Jun 09 15:25:52 CDT 2021","9935","","Complete a purchase.","","Complete a purchase.","10.- Insert 'First Name', 'Last Name', and 'Zip Code'","10.- Insert 'First Name', 'Last Name', and 'Zip Code'","Insert 'First Name', 'Last Name', and 'Zip Code'"
"passed","Wed Jun 09 15:28:11 CDT 2021","Wed Jun 09 15:28:11 CDT 2021","338","","Complete a purchase.","","Complete a purchase.","14.- Validate that the 'CHECKOUT: COMPLETE' Page is displayed","14.- Validate that the 'CHECKOUT: COMPLETE' Page is displayed","Validate that the 'CHECKOUT: COMPLETE' Page is displayed"
